,Address,Wallet owner,Balance,,USD,% of coins,First In,Last In,In_flow,First Out,Last Out,Out_flow
1,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,wallet: Binance-coldwallet,"248,597",BTC,"14,904,568,011",1.26%,2018-10-18,2024-07-13,880,2018-10-18,2023-01-07,451
2,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,wallet: Bitfinex-coldwallet,"180,010",BTC,"10,792,435,678",0.91%,2019-08-16,2024-07-13,182,2020-02-02,2024-04-01,167
3,bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v27d,,"139,145",BTC,"8,342,374,629",0.71%,2023-05-08,2024-07-14,282,2023-05-10,2024-07-02,207
4,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,wallet: Binance-coldwallet,"119,449",BTC,"7,161,499,233",0.61%,2018-11-13,2024-07-12,318,2018-11-13,2024-04-06,236
5,bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,,"94,643",BTC,"5,674,303,518",0.48%,2022-02-01,2024-06-05,84,,,
6,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,,"79,957",BTC,"4,793,807,499",0.41%,2011-03-01,2024-06-27,548,,,
7,bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,,"78,317",BTC,"4,695,468,048",0.40%,2024-03-23,2024-07-07,8,,,
8,bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,,"75,354",BTC,"4,517,825,448",0.38%,2022-09-30,2024-07-08,59,2022-09-30,2024-04-24,50
9,3E97AjYaCq9QYnfFMtBCYiCEsN956Rvpj2,,"75,177",BTC,"4,507,231,717",0.38%,2024-03-06,2024-07-07,8,,,
10,1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP7d,,"71,081",BTC,"4,261,636,809",0.36%,2022-11-02,2024-07-13,1161,2022-11-02,2024-06-03,338
11,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,,"69,370",BTC,"4,159,062,711",0.35%,2020-11-03,2024-05-16,76,,,
12,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,wallet: Binance-BTCB-Reserve,"68,200",BTC,"4,088,905,394",0.35%,2019-06-17,2024-07-06,89,2022-11-18,2022-11-18,54
13,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr30d,,"68,000",BTC,"4,076,919,783",0.34%,2021-10-11,2024-07-08,80,2022-07-15,2024-04-24,71
14,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,,"53,880",BTC,"3,230,358,763",0.27%,2014-05-27,2024-05-12,177,,,
15,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,,"51,830",BTC,"3,107,471,947",0.26%,2018-01-07,2024-05-12,126,,,
16,bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t6f657d,,"48,448",BTC,"2,904,695,926",0.25%,2024-02-23,2024-07-12,41,2024-02-23,2024-07-10,15
17,16eAGJEjqsUqngMfcysQECvp7TMU37P9gX,,"47,229",BTC,"2,831,580,777",0.24%,2024-05-28,2024-07-06,6,,,
18,1AsHPP7WcGnDLzxW2bUa2FcbJP3eZVEqpx,,"47,229",BTC,"2,831,580,744",0.24%,2024-05-28,2024-07-10,7,,,
19,bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr,,"45,442",BTC,"2,724,472,014",0.23%,2024-02-02,2024-07-12,702,2024-02-07,2024-07-12,677
20,bc1qs5vdqkusz4v7qac8ynx0vt9jrekwuupx2fl5udp9jql3sr03z3gsr2mf0f,wallet: Bybit-coldwallet,"44,671",BTC,"2,678,239,390",0.23%,2023-08-16,2024-07-08,80,2023-08-21,2024-05-29,14
21,16ArP3SPFJwq6X5fTZRLu2UcEAn1dXVqdF30d,,"44,527",BTC,"2,669,596,490",0.23%,2024-07-05,2024-07-05,1,,,
22,1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,,"44,000",BTC,"2,638,008,470",0.22%,2019-11-24,2024-05-12,55,,,
23,3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd,wallet: OKEx30d,"42,161",BTC,"2,527,740,013",0.21%,2022-12-16,2024-06-20,426,2022-12-21,2024-06-20,211
24,3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,wallet: Binance-coldwallet,"37,927",BTC,"2,273,897,535",0.19%,2021-10-24,2024-07-06,23,,,
25,bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,,"36,000",BTC,"2,158,391,673",0.18%,2021-07-27,2024-06-16,41,,,
26,bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqntpens30d,,"35,264",BTC,"2,114,257,894",0.18%,2024-05-23,2024-07-08,63,2024-06-04,2024-06-19,3
27,12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,,"32,321",BTC,"1,937,793,380",0.16%,2020-12-13,2024-05-12,45,2022-04-12,2022-04-23,10
28,bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,,"31,643",BTC,"1,897,167,960",0.16%,2020-05-12,2024-07-13,4743,2020-07-20,2020-07-20,1
29,3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,wallet: Binance-coldwallet,"31,275",BTC,"1,875,101,853",0.16%,2021-07-26,2024-07-06,23,,,
30,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,wallet: 967,"31,000",BTC,"1,858,597,664",0.16%,2010-05-13,2024-06-28,172,2010-06-02,2010-07-25,4
31,bc1qjet9suh6lpyu8uwcseywkr9zcn55lawp83wzde,,"29,800",BTC,"1,786,647,075",0.15%,2024-04-02,2024-04-02,1,,,
32,3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,wallet: Bitfinex-coldwallet,"28,200",BTC,"1,690,701,604",0.14%,2018-11-02,2024-07-14,5104,2018-11-04,2024-06-21,5061
33,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,,"28,151",BTC,"1,687,786,055",0.14%,2010-04-05,2024-05-12,155,,,
34,39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw,,"26,139",BTC,"1,567,176,833",0.13%,2023-12-07,2024-07-07,5,2024-03-14,2024-03-14,1
35,17MWdxfjPYP2PYhdy885QtihfbW181r1rn,,"24,495",BTC,"1,468,609,428",0.12%,2020-12-13,2024-05-12,22,,,
36,bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a97d,,"24,446",BTC,"1,465,650,248",0.12%,2022-03-04,2024-07-14,22294,2022-03-04,2024-07-12,18621
37,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,wallet: OKEx,"24,067",BTC,"1,442,926,168",0.12%,2016-03-14,2024-06-12,310,2016-03-15,2023-05-25,224
38,1LrwYH6jhn5hejM6ANAhMq5QWJD4QRWMGb,,"24,036",BTC,"1,441,071,093",0.12%,2024-02-28,2024-07-08,33,2024-02-28,2024-03-01,2
39,19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,,"23,969",BTC,"1,437,052,392",0.12%,2020-12-13,2024-05-12,27,,,
40,1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE77d,,"23,728",BTC,"1,422,596,055",0.12%,2023-06-19,2024-07-09,64,2023-06-19,2024-07-09,37
41,bc1qhxf9ckyz7sw8h6vkvdlffntmsu6fz8m3pdzgvw,,"23,323",BTC,"1,398,306,161",0.12%,2024-03-07,2024-07-08,10,,,
42,15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv30d,,"23,245",BTC,"1,393,645,529",0.12%,2022-06-16,2024-06-19,42,2022-06-18,2022-06-18,2
43,bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge3gvh7d,,"22,247",BTC,"1,333,809,203",0.11%,2024-03-01,2024-07-13,84,2024-04-24,2024-07-13,82
44,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,,"20,008",BTC,"1,199,572,168",0.10%,2017-03-28,2024-05-12,78,2017-03-28,2017-03-28,1
45,3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t,,"19,829",BTC,"1,188,814,716",0.10%,2023-01-13,2024-05-20,11,2024-01-03,2024-01-03,1
46,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,,"19,414",BTC,"1,163,984,858",0.10%,2010-07-24,2024-05-12,113,,,
47,3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,,"19,209",BTC,"1,151,657,826",0.10%,2019-02-01,2024-05-12,68,2020-08-15,2024-03-12,45
48,bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64,wallet: BitMEX,"18,874",BTC,"1,131,560,857",0.10%,2023-10-31,2024-07-14,458,2024-01-26,2024-07-14,444
49,bc1qcdqj2smprre85c78d942wx5tauw5n7uw92r7wr,,"18,516",BTC,"1,110,111,914",0.09%,2023-02-19,2024-07-14,26815,2023-02-21,2024-07-10,13773
50,bc1qkz55x35wlnrkrn5n0nq4wwsme9vszrwavu5qf4,,"18,500",BTC,"1,109,163,270",0.09%,2022-07-22,2024-06-16,14,,,
51,bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40,wallet: 97847925,"18,059",BTC,"1,082,692,645",0.09%,2021-03-11,2024-06-16,1218,2021-04-01,2024-05-30,162
52,bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l,,"17,733",BTC,"1,063,164,568",0.09%,2022-07-22,2024-07-14,3178,2022-07-23,2024-07-14,3156
53,bc1q32lyrhp9zpww22phqjwwmelta0c8a5q990ghs6,,"16,688",BTC,"1,000,529,770",0.08%,2024-01-10,2024-07-12,80,2024-01-18,2024-07-10,25
54,34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP,wallet: Binance-coldwallet,"16,307",BTC,"977,657,757",0.08%,2021-10-22,2024-04-27,10,,,
55,bc1qu0rlzms7j6kex4jtqz4ynl6nq9tnvmxa0jnj52,,"15,789",BTC,"946,652,079",0.08%,2024-07-13,2024-07-13,2,,,
56,1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,,"15,746",BTC,"944,019,045",0.08%,2018-01-22,2024-04-27,75,2018-01-22,2018-01-22,1
57,39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,,"14,502",BTC,"869,474,957",0.07%,2021-02-24,2024-06-27,290,2021-06-29,2024-06-27,262
58,1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj,,"14,000",BTC,"839,364,748",0.07%,2018-01-17,2024-04-27,60,,,
59,bc1q5vwscmf85w2vlq0qvr33dgpvu5rlrd42cqw6qn,,"13,821",BTC,"828,647,928",0.07%,2023-04-11,2024-07-11,206,2023-04-14,2024-07-11,204
60,3D9JeoexzWJecfaWHhNtUEvojxUgvsVn6k,,"13,686",BTC,"820,541,203",0.07%,2024-07-12,2024-07-12,1,,,
61,bc1q968e7dl5cq938tz87uwqyyd4and4mjhgyelfyq,,"13,564",BTC,"813,220,651",0.07%,2024-06-05,2024-06-05,2,,,
62,3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,wallet: OKEx,"13,475",BTC,"807,902,565",0.07%,2021-02-17,2024-07-12,995,2021-04-20,2024-06-28,945
63,bc1qk7fy6qumtdkjy765ujxqxe0my55ake0zefa2dmt6sjx2sr098d8qf26ufn,,"13,422",BTC,"804,720,737",0.07%,2023-11-26,2024-07-09,115,2023-11-30,2024-07-05,17
64,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,wallet: Binance-wallet,"13,034",BTC,"781,446,344",0.07%,2021-10-08,2024-07-14,1632987,2021-10-12,2024-07-14,1632703
65,bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa,,"13,003",BTC,"779,591,265",0.07%,2021-07-27,2024-04-27,19,,,
66,1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT,,"12,900",BTC,"773,401,386",0.07%,2020-03-17,2024-05-12,41,2024-01-24,2024-05-08,3
67,1CiAnTJn6eHTU89PeihdMhT7KcQZxVZ4fy,,"12,858",BTC,"770,894,806",0.07%,2023-12-12,2024-04-27,18,,,
68,1KVpuCfhftkzJ67ZUegaMuaYey7qni7pPj,,"12,837",BTC,"769,650,252",0.07%,2019-11-01,2024-07-06,70,2019-11-01,2024-06-08,36
69,3A9qNS69dngSU2ak8BwZKEExeVnL2RqpYJ,,"12,423",BTC,"744,787,376",0.06%,2020-12-16,2024-04-29,50,,,
70,bc1qkmk4v2xn29yge68fq6zh7gvfdqrvpq3v3p3y0s,,"12,267",BTC,"735,464,717",0.06%,2024-02-28,2024-02-28,2,,,
71,1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiw,,"12,233",BTC,"733,425,293",0.06%,2023-12-21,2024-07-09,37,2023-12-26,2024-06-11,16
72,bc1qtrxc0use4hlm7fl0j6t37z7qlwl5eppj8lywz6,wallet: 97847925,"12,088",BTC,"724,756,747",0.06%,2022-07-24,2024-07-14,962,2023-12-13,2024-05-30,148
73,3PdKaWwshFBWg6vAauToecqEAFtsuzyxGV,wallet: 71427940,"11,764",BTC,"705,278,591",0.06%,2020-12-02,2024-07-13,11698,2020-12-02,2024-06-30,11554
74,3HcEUguUZ4vyyMAPWDPUDjLqz882jXwMfV,wallet: Kraken-wallet,"11,175",BTC,"669,982,861",0.06%,2023-05-19,2024-07-14,43511,2023-05-25,2024-07-14,40410
75,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,,"10,771",BTC,"645,743,398",0.05%,2011-08-08,2024-04-27,104,,,
76,bc1q7t9fxfaakmtk8pj7tdxjvwsng6y9x76czuaf5h,,"10,650",BTC,"638,516,722",0.05%,2024-03-01,2024-03-08,3,2024-03-05,2024-03-05,1
77,3FM9vDYsN2iuMPKWjAcqgyahdwdrUxhbJ3,wallet: OKEx,"10,549",BTC,"632,475,091",0.05%,2024-01-05,2024-07-12,102,2024-03-01,2024-06-25,35
78,bc1qxlth5har0qasqvattsjvgp80st2x402u5shuud,,"10,500",BTC,"629,523,765",0.05%,2024-06-22,2024-06-22,1,,,
79,bc1qsglskh8r5aplgfzyt5huzqfgaqrgh8nf8ss669,,"10,319",BTC,"618,671,253",0.05%,2024-04-18,2024-04-18,1,,,
80,1Q8QR5k32hexiMQnRgkJ6fmmjn5fMWhdv9,,"10,217",BTC,"612,539,590",0.05%,2021-08-12,2024-07-09,1584,,,
81,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,,"10,009",BTC,"600,101,574",0.05%,2011-05-04,2024-04-27,82,,,
82,bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq,,"10,002",BTC,"599,650,565",0.05%,2021-08-14,2024-04-27,9,,,
83,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,,"10,000",BTC,"599,550,893",0.05%,2011-05-04,2024-04-27,49,,,
84,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,,"10,000",BTC,"599,548,333",0.05%,2011-05-04,2024-04-27,62,,,
85,1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,,"10,000",BTC,"599,547,710",0.05%,2017-10-17,2024-04-27,46,,,
86,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,,"10,000",BTC,"599,547,208",0.05%,2011-04-02,2024-05-18,71,,,
87,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,,"10,000",BTC,"599,546,966",0.05%,2011-05-04,2024-04-27,56,,,
88,12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,,"10,000",BTC,"599,546,878",0.05%,2011-04-02,2024-04-27,55,,,
89,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,,"10,000",BTC,"599,546,836",0.05%,2011-05-04,2024-05-27,47,,,
90,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,,"10,000",BTC,"599,546,816",0.05%,2011-05-04,2024-04-27,44,,,
91,1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,,"10,000",BTC,"599,546,735",0.05%,2022-11-02,2024-04-27,12,2022-11-02,2022-11-02,1
92,1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,,"10,000",BTC,"599,546,706",0.05%,2022-11-02,2024-04-27,11,2022-11-02,2022-11-02,1
93,12HnxiXEeKUVjQRbMVTytsGWnzHd5LdGCt,,"10,000",BTC,"599,546,652",0.05%,2022-11-02,2024-04-27,11,2022-11-02,2022-11-02,1
94,17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,,"10,000",BTC,"599,546,648",0.05%,2022-11-02,2024-04-27,11,2022-11-02,2022-11-02,1
95,18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,,"10,000",BTC,"599,546,619",0.05%,2022-11-02,2024-04-27,10,2022-11-02,2022-11-02,1
96,1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,,"10,000",BTC,"599,546,542",0.05%,2022-11-02,2024-04-27,8,2022-11-02,2022-11-02,1
97,1MtUMTqtdrpT6Rar5fgWoyrzAevatssej5,,"10,000",BTC,"599,546,541",0.05%,2022-11-02,2024-04-27,9,2022-11-02,2022-11-02,1
98,1NhJGUJu8rrTwPS4vopsdTqqcK4nAwdLwJ,,"10,000",BTC,"599,546,541",0.05%,2022-11-02,2024-04-27,8,2022-11-02,2022-11-02,1
99,1DP3VYwN6ozHXDDaETbvNFLd86CAXfaewi,,"10,000",BTC,"599,546,540",0.05%,2022-11-02,2024-07-06,7,2022-11-02,2022-11-02,1
100,1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,,"10,000",BTC,"599,546,384",0.05%,2022-11-02,2024-07-07,9,2022-11-02,2022-11-02,1